category,room_count,bathroom_count,size,type,price,city,region
Maisons et Villas,3.0,1.0,120.0,À Vendre,400000.0,Ariana,Ghazela
Terrains et Fermes,,,,À Vendre,650000.0,Ariana,Raoued
Terrains et Fermes,,,,À Vendre,800000.0,Ariana,Ghazela
Terrains et Fermes,,,,À Vendre,900000.0,Ariana,Ariana
Terrains et Fermes,,,,À Vendre,4000000.0,Ariana,
Terrains et Fermes,,,,À Vendre,200000.0,Ariana,
Maisons et Villas,8.0,3.0,280.0,À Vendre,145000.0,Ariana,Ghazela
Maisons et Villas,3.0,2.0,188.0,À Vendre,257000.0,Ariana,Jardins D'el Menzah
Appartements,1.0,1.0,65.0,À Louer,800.0,Ariana,Ennasr
Appartements,1.0,1.0,83.0,À Louer,950.0,Ariana,La Soukra
Appartements,3.0,1.0,76.0,À Vendre,115000.0,Ariana,Chotrana
Terrains et Fermes,,,,À Vendre,700000.0,Ariana,La Soukra
Terrains et Fermes,,,,À Vendre,90000.0,Ariana,Raoued
Terrains et Fermes,,,,À Vendre,320000.0,Ariana,La Soukra
Appartements,2.0,2.0,120.0,À Louer,1200.0,Ariana,Jardins D'el Menzah
Appartements,1.0,1.0,50.0,À Louer,300.0,Ariana,Borj Louzir
Appartements,2.0,2.0,130.0,À Vendre,28000.0,Ariana,Jardins D'el Menzah
Terrains et Fermes,,,,À Vendre,75000.0,Ariana,Raoued
Maisons et Villas,2.0,1.0,125.0,À Vendre,78000.0,Ariana,Autres villes
Appartements,2.0,1.0,110.0,À Louer,900.0,Ariana,Ariana Ville
Bureaux et Plateaux,4.0,2.0,400.0,À Louer,3000.0,Ariana,Autres villes
"Magasins, Commerces et Locaux industriels",1.0,0.0,100.0,À Louer,650.0,Ariana,Jardins D'el Menzah
Terrains et Fermes,,,,À Vendre,85000.0,Ariana,Raoued
Appartements,4.0,3.0,370.0,À Vendre,1100000.0,Ariana,La Soukra
Appartements,3.0,1.0,500.0,À Louer,1360.0,Ariana,La Soukra
Maisons et Villas,2.0,1.0,200.0,À Louer,130.0,Ariana,Autres villes
Appartements,3.0,2.0,143.0,À Vendre,360000.0,Ariana,La Soukra
Appartements,4.0,2.0,200.0,À Vendre,360000.0,Ariana,Ennasr
Appartements,3.0,1.0,150.0,À Vendre,350000.0,Ariana,Ennasr
Appartements,2.0,1.0,130.0,À Vendre,300000.0,Ariana,Ennasr
Appartements,4.0,2.0,120.0,À Vendre,200000.0,Ariana,Autres villes
Appartements,1.0,1.0,56.0,À Vendre,158000.0,Ariana,Jardins D'el Menzah
Appartements,2.0,2.0,136.0,À Vendre,300000.0,Ariana,Ennasr
Appartements,3.0,2.0,140.0,À Vendre,275000.0,Ariana,Jardins D'el Menzah
Appartements,1.0,1.0,27.0,À Louer,70.0,Ariana,Autres villes
"Magasins, Commerces et Locaux industriels",1.0,1.0,36.0,À Vendre,119000.0,Ariana,Ariana
Appartements,3.0,1.0,110.0,À Vendre,150000.0,Ariana,Raoued
Appartements,2.0,1.0,100.0,À Vendre,230000.0,Ariana,Jardins D'el Menzah
Appartements,2.0,1.0,120.0,À Vendre,240000.0,Ariana,Ennasr
Terrains et Fermes,,,,À Vendre,75000.0,Ariana,Ariana
Appartements,3.0,1.0,165.0,À Vendre,1050000.0,Ariana,Jardins D'el Menzah
Appartements,1.0,1.0,70.0,À Louer,830.0,Ariana,Jardins D'el Menzah
Appartements,2.0,1.0,126.0,À Vendre,330000.0,Ariana,Ennasr
Maisons et Villas,5.0,3.0,327.0,À Vendre,880000.0,Ariana,La Soukra
Maisons et Villas,4.0,5.0,434.0,À Vendre,1800000.0,Ariana,La Soukra
Appartements,3.0,3.0,278.0,À Vendre,750000.0,Ariana,La Soukra
Maisons et Villas,5.0,3.0,210.0,À Vendre,320000.0,Ariana,Ariana Ville
Appartements,2.0,2.0,186.0,À Vendre,470000.0,Ariana,La Soukra
Appartements,3.0,3.0,188.0,À Vendre,650000.0,Ariana,La Soukra
Appartements,4.0,3.0,370.0,À Vendre,1100000.0,Ariana,La Soukra
Appartements,2.0,2.0,120.0,À Louer,100.0,Ariana,Ennasr
Appartements,1.0,1.0,87.0,À Vendre,243000.0,Ariana,Ennasr
Terrains et Fermes,,,,À Vendre,97126380.0,Ariana,Mnihla
Appartements,3.0,3.0,165.0,À Vendre,650000.0,Ariana,La Soukra
Appartements,2.0,1.0,98.0,À Louer,550.0,Ariana,Raoued
Appartements,2.0,1.0,60.0,À Louer,380.0,Ariana,Borj Louzir
Appartements,4.0,2.0,130.0,À Vendre,285000.0,Ariana,Jardins D'el Menzah
Terrains et Fermes,,,,À Vendre,27400.0,Ariana,Ariana
Appartements,3.0,1.0,85.0,À Louer,150.0,Ariana,Ghazela
Terrains et Fermes,,,,À Vendre,400000.0,Ariana,Raoued
Appartements,1.0,1.0,60.0,À Vendre,180000.0,Ariana,Ennasr
Appartements,2.0,1.0,130.0,À Louer,750.0,Ariana,La Soukra
Appartements,2.0,1.0,120.0,À Louer,700.0,Ariana,La Soukra
Appartements,4.0,2.0,110.0,À Louer,830.0,Ariana,Autres villes
Appartements,3.0,2.0,140.0,À Louer,1400.0,Ariana,Autres villes
Maisons et Villas,2.0,1.0,130.0,À Louer,650.0,Ariana,Ghazela
Maisons et Villas,4.0,1.0,110.0,À Louer,1300.0,Ariana,Ennasr
Appartements,2.0,1.0,90.0,À Louer,90.0,Ariana,Autres villes
Appartements,1.0,1.0,75.0,À Vendre,190000.0,Ariana,Ennasr
Appartements,2.0,2.0,100.0,À Louer,850.0,Ariana,La Soukra
Appartements,4.0,1.0,100.0,À Vendre,400000.0,Ariana,Autres villes
Terrains et Fermes,,,,À Vendre,750000.0,Ariana,Autres villes
Terrains et Fermes,,,,À Vendre,100000.0,Ariana,Borj Louzir
Appartements,1.0,1.0,80.0,À Louer,120.0,Ariana,La Soukra
Maisons et Villas,4.0,2.0,120.0,À Vendre,200000.0,Ariana,Autres villes
Appartements,3.0,1.0,130.0,À Louer,1400.0,Ariana,Jardins D'el Menzah
Appartements,3.0,2.0,138.0,À Vendre,295000.0,Ariana,Ariana Ville
"Magasins, Commerces et Locaux industriels",3.0,2.0,98.0,À Vendre,65000.0,Ariana,Autres villes
Maisons et Villas,3.0,1.0,90.0,À Louer,470.0,Ariana,La Soukra
Appartements,1.0,1.0,85.0,À Louer,950.0,Ariana,La Soukra
Terrains et Fermes,,,,À Vendre,260000.0,Ariana,Mnihla
Maisons et Villas,2.0,1.0,110.0,À Vendre,115000.0,Ariana,Autres villes
Terrains et Fermes,,,,À Vendre,43000.0,Ariana,Autres villes
Appartements,3.0,1.0,130.0,À Louer,120.0,Ariana,Autres villes
Terrains et Fermes,,,,À Vendre,470000.0,Ariana,Ariana Ville
Terrains et Fermes,,,,À Vendre,470000.0,Ariana,Ariana Ville
Appartements,1.0,1.0,72.0,À Vendre,160000.0,Ariana,Chotrana
Maisons et Villas,4.0,2.0,260.0,À Vendre,490000.0,Ariana,Ariana
Appartements,2.0,1.0,62.0,À Vendre,109000.0,Ariana,Chotrana
Terrains et Fermes,,,,À Vendre,650000.0,Ariana,Jardins D'el Menzah
Maisons et Villas,4.0,1.0,260.0,À Vendre,650000.0,Ariana,La Soukra
Terrains et Fermes,,,,À Vendre,250000.0,Ariana,Raoued
Appartements,3.0,1.0,80.0,À Louer,450.0,Ariana,Borj Louzir
Appartements,3.0,1.0,85.0,À Vendre,150000.0,Ariana,Borj Louzir
Maisons et Villas,4.0,2.0,350.0,À Louer,1700.0,Ariana,Autres villes
Maisons et Villas,4.0,2.0,300.0,À Louer,800.0,Ariana,Autres villes
Appartements,1.0,1.0,40.0,À Louer,300.0,Ariana,Ghazela
Maisons et Villas,2.0,1.0,100.0,À Louer,290.0,Ariana,Chotrana
Maisons et Villas,2.0,1.0,80.0,À Louer,380.0,Ariana,Ariana
